,init_node,term_node,capacity,length,free_flow_time,b,power,speed,critical_speed,lanes
82,66,29951,2880,0.043,0.11,0.25,4,24,19.2,2
83,66,30280,2880,0.033,0.08,0.25,4,24,19.2,2
84,67,29301,2880,0.041,0.1,0.25,4,24,19.2,2
85,68,29955,2880,0.07,0.18,0.25,4,24,19.2,2
86,68,29956,2880,0.051,0.13,0.25,4,24,19.2,2
87,69,29953,2880,0.058,0.15,0.25,4,24,19.2,2
88,69,30187,2880,0.038,0.1,0.25,4,24,19.2,2
89,70,30185,2880,0.021,0.05,0.25,4,24,19.2,2
90,71,27537,2880,0.034,0.09,0.25,4,24,19.2,2
91,72,29952,2880,0.035,0.09,0.25,4,24,19.2,2
92,72,30286,2880,0.025,0.06,0.25,4,24,19.2,2
93,73,29954,2880,0.03,0.08,0.25,4,24,19.2,2
94,74,30277,2880,0.024,0.06,0.25,4,24,19.2,2
95,75,29313,2880,0.019,0.05,0.25,4,24,19.2,2
96,76,29054,2880,0.017,0.04,0.25,4,24,19.2,2
97,76,30278,2880,0.033,0.08,0.25,4,24,19.2,2
98,77,30032,2880,0.04,0.1,0.25,4,24,19.2,2
99,77,30287,2880,0.015,0.04,0.25,4,24,19.2,2
100,78,29635,2880,0.022,0.06,0.25,4,24,19.2,2
101,78,30033,2880,0.019,0.05,0.25,4,24,19.2,2
102,78,30307,2880,0.017,0.04,0.25,4,24,19.2,2
103,79,29967,2880,0.029,0.07,0.25,4,24,19.2,2
104,79,29968,2880,0.035,0.09,0.25,4,24,19.2,2
105,79,30035,2880,0.025,0.06,0.25,4,24,19.2,2
106,80,30034,2880,0.031,0.08,0.25,4,24,19.2,2
107,80,30308,2880,0.054,0.14,0.25,4,24,19.2,2
108,81,28534,2880,0.088,0.22,0.25,4,24,19.2,2
109,81,29057,2880,0.129,0.32,0.25,4,24,19.2,2
110,82,6691,2880,0.152,0.38,0.25,4,24,19.2,2
111,82,6716,2880,0.043,0.11,0.25,4,24,19.2,2
112,82,29056,2880,0.038,0.1,0.25,4,24,19.2,2
113,83,28158,2880,0.023,0.06,0.25,4,24,19.2,2
114,84,6711,2880,0.083,0.21,0.25,4,24,19.2,2
115,84,6740,2880,0.033,0.08,0.25,4,24,19.2,2
116,85,29259,2880,0.042,0.11,0.25,4,24,19.2,2
117,86,28546,2880,0.037,0.09,0.25,4,24,19.2,2
118,86,29252,2880,0.042,0.11,0.25,4,24,19.2,2
119,86,29254,2880,0.042,0.11,0.25,4,24,19.2,2
120,87,29970,2880,0.02,0.05,0.25,4,24,19.2,2
121,87,29971,2880,0.082,0.21,0.25,4,24,19.2,2
122,87,30136,2880,0.074,0.19,0.25,4,24,19.2,2
123,88,6760,2880,0.054,0.14,0.25,4,24,19.2,2
124,88,6769,2880,0.05,0.13,0.25,4,24,19.2,2
125,89,29972,2880,0.035,0.09,0.25,4,24,19.2,2
126,90,29058,2880,0.064,0.16,0.25,4,24,19.2,2
127,90,29973,2880,0.033,0.08,0.25,4,24,19.2,2
128,91,6788,2880,0.032,0.08,0.25,4,24,19.2,2
129,92,30157,2880,0.026,0.07,0.25,4,24,19.2,2
130,93,27561,2880,0.028,0.07,0.25,4,24,19.2,2
131,94,6851,2880,0.035,0.09,0.25,4,24,19.2,2
132,95,30158,2880,0.023,0.06,0.25,4,24,19.2,2
133,96,29949,2880,0.064,0.16,0.25,4,24,19.2,2
134,97,30154,2880,0.035,0.09,0.25,4,24,19.2,2
135,98,30036,2880,0.04,0.1,0.25,4,24,19.2,2
136,98,30271,2880,0.033,0.08,0.25,4,24,19.2,2
137,99,29636,2880,0.015,0.04,0.25,4,24,19.2,2
138,99,30183,2880,0.028,0.07,0.25,4,24,19.2,2
139,100,27540,2880,0.021,0.05,0.25,4,24,19.2,2
140,101,27745,2880,0.026,0.07,0.25,4,24,19.2,2
141,102,27539,2880,0.033,0.08,0.25,4,24,19.2,2
142,102,27543,2880,0.044,0.11,0.25,4,24,19.2,2
143,102,29051,2880,0.039,0.1,0.25,4,24,19.2,2
144,102,29052,2880,0.043,0.11,0.25,4,24,19.2,2
145,103,29313,2880,0.044,0.11,0.25,4,24,19.2,2
146,103,30284,2880,0.036,0.09,0.25,4,24,19.2,2
147,104,29323,2880,0.028,0.07,0.25,4,24,19.2,2
148,105,29637,2880,0.015,0.04,0.25,4,24,19.2,2
149,105,30037,2880,0.023,0.06,0.25,4,24,19.2,2
150,106,29638,2880,0.022,0.06,0.25,4,24,19.2,2
151,106,29639,2880,0.041,0.1,0.25,4,24,19.2,2
152,107,29641,2880,0.032,0.08,0.25,4,24,19.2,2
153,107,29643,2880,0.039,0.1,0.25,4,24,19.2,2
154,108,29335,2880,0.019,0.05,0.25,4,24,19.2,2
155,109,29321,2880,0.045,0.11,0.25,4,24,19.2,2
156,109,29640,2880,0.046,0.12,0.25,4,24,19.2,2
157,110,29644,2880,0.035,0.09,0.25,4,24,19.2,2
158,110,29645,2880,0.072,0.18,0.25,4,24,19.2,2
159,110,30038,2880,0.03,0.08,0.25,4,24,19.2,2
160,111,29647,2880,0.014,0.04,0.25,4,24,19.2,2
161,111,30317,2880,0.045,0.11,0.25,4,24,19.2,2
162,112,29646,2880,0.033,0.08,0.25,4,24,19.2,2
163,112,30021,2880,0.014,0.04,0.25,4,24,19.2,2
164,113,28176,2880,0.025,0.06,0.25,4,24,19.2,2
165,114,30180,2880,0.021,0.05,0.25,4,24,19.2,2
166,115,30179,2880,0.022,0.06,0.25,4,24,19.2,2
167,116,27540,2880,0.035,0.09,0.25,4,24,19.2,2
168,117,29648,2880,0.02,0.05,0.25,4,24,19.2,2
169,117,29649,2880,0.019,0.05,0.25,4,24,19.2,2
170,118,29652,2880,0.038,0.1,0.25,4,24,19.2,2
171,118,30039,2880,0.017,0.04,0.25,4,24,19.2,2
172,119,29661,2880,0.023,0.06,0.25,4,24,19.2,2
173,120,29650,2880,0.024,0.06,0.25,4,24,19.2,2
174,120,29651,2880,0.015,0.04,0.25,4,24,19.2,2
175,120,30288,2880,0.023,0.06,0.25,4,24,19.2,2
176,121,29653,2880,0.016,0.04,0.25,4,24,19.2,2
177,121,29654,2880,0.018,0.05,0.25,4,24,19.2,2
178,122,29060,2880,0.021,0.05,0.25,4,24,19.2,2
179,123,29656,2880,0.015,0.04,0.25,4,24,19.2,2
180,123,29657,2880,0.031,0.08,0.25,4,24,19.2,2
181,124,29655,2880,0.025,0.06,0.25,4,24,19.2,2
182,124,29658,2880,0.033,0.08,0.25,4,24,19.2,2
183,125,29659,2880,0.024,0.06,0.25,4,24,19.2,2
184,125,30040,2880,0.016,0.04,0.25,4,24,19.2,2
185,126,29660,2880,0.02,0.05,0.25,4,24,19.2,2
186,126,30041,2880,0.02,0.05,0.25,4,24,19.2,2
187,127,30288,2880,0.025,0.06,0.25,4,24,19.2,2
188,128,29297,2880,0.023,0.06,0.25,4,24,19.2,2
189,129,29663,2880,0.023,0.06,0.25,4,24,19.2,2
190,129,30209,2880,0.028,0.07,0.25,4,24,19.2,2
191,130,29304,2880,0.037,0.09,0.25,4,24,19.2,2
192,130,30042,2880,0.036,0.09,0.25,4,24,19.2,2
193,131,29662,2880,0.04,0.1,0.25,4,24,19.2,2
194,131,29664,2880,0.031,0.08,0.25,4,24,19.2,2
195,131,29666,2880,0.018,0.05,0.25,4,24,19.2,2
196,132,29667,2880,0.015,0.04,0.25,4,24,19.2,2
197,132,29668,2880,0.042,0.11,0.25,4,24,19.2,2
198,133,30043,2880,0.021,0.05,0.25,4,24,19.2,2
199,133,30044,2880,0.041,0.1,0.25,4,24,19.2,2
200,133,30290,2880,0.072,0.18,0.25,4,24,19.2,2
201,134,29669,2880,0.028,0.07,0.25,4,24,19.2,2
202,134,30020,2880,0.014,0.04,0.25,4,24,19.2,2
203,135,29671,2880,0.027,0.07,0.25,4,24,19.2,2
204,135,30291,2880,0.02,0.05,0.25,4,24,19.2,2
205,136,29672,2880,0.02,0.05,0.25,4,24,19.2,2
206,136,30292,2880,0.017,0.04,0.25,4,24,19.2,2
207,137,29673,2880,0.017,0.04,0.25,4,24,19.2,2
208,137,29675,2880,0.026,0.07,0.25,4,24,19.2,2
209,137,30023,2880,0.02,0.05,0.25,4,24,19.2,2
210,138,29674,2880,0.036,0.09,0.25,4,24,19.2,2
211,138,30293,2880,0.017,0.04,0.25,4,24,19.2,2
212,139,29676,2880,0.015,0.04,0.25,4,24,19.2,2
213,139,29677,2880,0.015,0.04,0.25,4,24,19.2,2
214,140,29678,2880,0.018,0.05,0.25,4,24,19.2,2
215,140,29679,2880,0.033,0.08,0.25,4,24,19.2,2
216,141,29683,2880,0.07,0.18,0.25,4,24,19.2,2
217,141,30322,2880,0.005,0.01,0.25,4,24,19.2,2
218,142,29680,2880,0.017,0.04,0.25,4,24,19.2,2
219,142,29681,2880,0.043,0.11,0.25,4,24,19.2,2
220,142,29682,2880,0.023,0.06,0.25,4,24,19.2,2
221,143,28539,2880,0.022,0.06,0.25,4,24,19.2,2
222,144,30143,2880,0.017,0.04,0.25,4,24,19.2,2
223,145,29713,2880,0.016,0.04,0.25,4,24,19.2,2
224,145,29974,2880,0.034,0.09,0.25,4,24,19.2,2
225,145,29975,2880,0.026,0.07,0.25,4,24,19.2,2
226,146,29684,2880,0.12,0.3,0.25,4,24,19.2,2
227,146,30018,2880,0.018,0.05,0.25,4,24,19.2,2
228,147,28817,2880,0.015,0.04,0.25,4,24,19.2,2
229,147,29689,2880,0.024,0.06,0.25,4,24,19.2,2
230,148,29685,2880,0.087,0.22,0.25,4,24,19.2,2
231,148,30019,2880,0.037,0.09,0.25,4,24,19.2,2
232,149,29690,2880,0.015,0.04,0.25,4,24,19.2,2
233,149,29691,2880,0.017,0.04,0.25,4,24,19.2,2
234,150,29686,2880,0.016,0.04,0.25,4,24,19.2,2
235,150,29688,2880,0.016,0.04,0.25,4,24,19.2,2
236,151,28175,2880,0.017,0.04,0.25,4,24,19.2,2
237,151,29699,2880,0.07,0.18,0.25,4,24,19.2,2
238,152,29692,2880,0.02,0.05,0.25,4,24,19.2,2
239,152,29693,2880,0.035,0.09,0.25,4,24,19.2,2
240,153,27499,2880,0.04,0.1,0.25,4,24,19.2,2
241,154,29694,2880,0.021,0.05,0.25,4,24,19.2,2
242,154,29695,2880,0.026,0.07,0.25,4,24,19.2,2
243,155,28556,2880,0.027,0.07,0.25,4,24,19.2,2
244,156,29696,2880,0.019,0.05,0.25,4,24,19.2,2
245,156,29698,2880,0.093,0.23,0.25,4,24,19.2,2
246,156,30175,2880,0.031,0.08,0.25,4,24,19.2,2
247,157,29700,2880,0.018,0.05,0.25,4,24,19.2,2
248,157,29701,2880,0.018,0.05,0.25,4,24,19.2,2
249,158,29705,2880,0.018,0.05,0.25,4,24,19.2,2
250,158,29706,2880,0.04,0.1,0.25,4,24,19.2,2
251,159,29697,2880,0.026,0.07,0.25,4,24,19.2,2
252,160,29707,2880,0.076,0.19,0.25,4,24,19.2,2
253,160,29708,2880,0.02,0.05,0.25,4,24,19.2,2
254,161,29305,2880,0.033,0.08,0.25,4,24,19.2,2
255,162,30245,2880,0.058,0.15,0.25,4,24,19.2,2
256,163,29702,2880,0.079,0.2,0.25,4,24,19.2,2
257,163,29703,2880,0.018,0.05,0.25,4,24,19.2,2
258,163,30174,2880,0.038,0.1,0.25,4,24,19.2,2
259,164,29704,2880,0.026,0.07,0.25,4,24,19.2,2
260,164,30198,2880,0.031,0.08,0.25,4,24,19.2,2
261,165,6856,2880,0.032,0.08,0.25,4,24,19.2,2
262,166,29709,2880,0.045,0.11,0.25,4,24,19.2,2
263,166,29712,2880,0.016,0.04,0.25,4,24,19.2,2
264,167,29710,2880,0.014,0.04,0.25,4,24,19.2,2
265,167,29711,2880,0.037,0.09,0.25,4,24,19.2,2
266,168,29312,2880,0.049,0.12,0.25,4,24,19.2,2
267,168,30318,2880,0.016,0.04,0.25,4,24,19.2,2
268,169,30045,2880,0.022,0.06,0.25,4,24,19.2,2
269,169,30294,2880,0.022,0.06,0.25,4,24,19.2,2
270,170,29977,2880,0.015,0.04,0.25,4,24,19.2,2
271,170,29978,2880,0.019,0.05,0.25,4,24,19.2,2
272,171,29979,2880,0.023,0.06,0.25,4,24,19.2,2
273,171,30243,2880,0.036,0.09,0.25,4,24,19.2,2
274,172,29714,2880,0.019,0.05,0.25,4,24,19.2,2
275,172,29715,2880,0.02,0.05,0.25,4,24,19.2,2
276,172,29716,2880,0.049,0.12,0.25,4,24,19.2,2
277,172,29718,2880,0.045,0.11,0.25,4,24,19.2,2
278,173,6942,2880,0.025,0.06,0.25,4,24,19.2,2
279,174,29717,2880,0.024,0.06,0.25,4,24,19.2,2
280,175,29719,2880,0.034,0.09,0.25,4,24,19.2,2
281,175,29720,2880,0.035,0.09,0.25,4,24,19.2,2
282,175,29784,2880,0.046,0.12,0.25,4,24,19.2,2
283,176,28535,2880,0.056,0.14,0.25,4,24,19.2,2
284,176,29063,2880,0.014,0.04,0.25,4,24,19.2,2
285,176,29064,2880,0.078,0.2,0.25,4,24,19.2,2
286,177,29218,2880,0.026,0.07,0.25,4,24,19.2,2
287,178,29721,2880,0.022,0.06,0.25,4,24,19.2,2
288,178,29722,2880,0.033,0.08,0.25,4,24,19.2,2
289,178,29724,2880,0.035,0.09,0.25,4,24,19.2,2
290,179,29723,2880,0.049,0.12,0.25,4,24,19.2,2
291,179,30046,2880,0.024,0.06,0.25,4,24,19.2,2
292,179,30099,2880,0.044,0.11,0.25,4,24,19.2,2
293,180,30091,2880,0.02,0.05,0.25,4,24,19.2,2
294,181,30116,2880,0.024,0.06,0.25,4,24,19.2,2
295,182,29725,2880,0.018,0.05,0.25,4,24,19.2,2
296,182,29726,2880,0.018,0.05,0.25,4,24,19.2,2
297,183,6728,2880,0.019,0.05,0.25,4,24,19.2,2
298,184,29730,2880,0.041,0.1,0.25,4,24,19.2,2
299,184,29731,2880,0.016,0.04,0.25,4,24,19.2,2
300,184,29732,2880,0.036,0.09,0.25,4,24,19.2,2
301,185,29727,2880,0.02,0.05,0.25,4,24,19.2,2
302,185,29728,2880,0.02,0.05,0.25,4,24,19.2,2
303,185,29729,2880,0.072,0.18,0.25,4,24,19.2,2
304,186,29232,2880,0.025,0.06,0.25,4,24,19.2,2
305,187,29733,2880,0.028,0.07,0.25,4,24,19.2,2
306,187,30116,2880,0.02,0.05,0.25,4,24,19.2,2
307,188,29246,2880,0.015,0.04,0.25,4,24,19.2,2
308,189,30124,2880,0.018,0.05,0.25,4,24,19.2,2
309,190,28552,2880,0.02,0.05,0.25,4,24,19.2,2
310,191,29734,2880,0.03,0.08,0.25,4,24,19.2,2
311,191,30126,2880,0.024,0.06,0.25,4,24,19.2,2
312,192,30274,2880,0.021,0.05,0.25,4,24,19.2,2
313,193,30047,2880,0.019,0.05,0.25,4,24,19.2,2
314,194,29735,2880,0.014,0.04,0.25,4,24,19.2,2
315,194,29739,2880,0.04,0.1,0.25,4,24,19.2,2
316,195,29736,2880,0.017,0.04,0.25,4,24,19.2,2
317,195,29737,2880,0.014,0.04,0.25,4,24,19.2,2
318,195,29738,2880,0.031,0.08,0.25,4,24,19.2,2
319,196,29740,2880,0.019,0.05,0.25,4,24,19.2,2
320,196,29741,2880,0.016,0.04,0.25,4,24,19.2,2
321,196,29742,2880,0.034,0.09,0.25,4,24,19.2,2
322,197,29743,2880,0.016,0.04,0.25,4,24,19.2,2
323,197,29744,2880,0.034,0.09,0.25,4,24,19.2,2
324,198,28552,2880,0.07,0.18,0.25,4,24,19.2,2
325,198,28556,2880,0.054,0.14,0.25,4,24,19.2,2
326,199,28154,2880,0.058,0.15,0.25,4,24,19.2,2
327,199,29476,2880,0.02,0.05,0.25,4,24,19.2,2
328,199,29745,2880,0.04,0.1,0.25,4,24,19.2,2
329,200,29746,2880,0.024,0.06,0.25,4,24,19.2,2
330,200,29747,2880,0.017,0.04,0.25,4,24,19.2,2
331,201,29748,2880,0.049,0.12,0.25,4,24,19.2,2
332,201,30295,2880,0.017,0.04,0.25,4,24,19.2,2
333,202,29263,2880,0.032,0.08,0.25,4,24,19.2,2
334,202,29749,2880,0.017,0.04,0.25,4,24,19.2,2
335,203,29750,2880,0.02,0.05,0.25,4,24,19.2,2
336,203,29751,2880,0.029,0.07,0.25,4,24,19.2,2
337,204,29295,2880,0.051,0.13,0.25,4,24,19.2,2
338,204,29752,2880,0.025,0.06,0.25,4,24,19.2,2
339,204,29753,2880,0.025,0.06,0.25,4,24,19.2,2
340,205,29754,2880,0.025,0.06,0.25,4,24,19.2,2
341,205,29755,2880,0.045,0.11,0.25,4,24,19.2,2
342,205,29756,2880,0.036,0.09,0.25,4,24,19.2,2
343,206,29757,2880,0.015,0.04,0.25,4,24,19.2,2
344,206,29758,2880,0.021,0.05,0.25,4,24,19.2,2
345,206,29759,2880,0.024,0.06,0.25,4,24,19.2,2
346,207,29762,2880,0.028,0.07,0.25,4,24,19.2,2
347,207,29763,2880,0.092,0.23,0.25,4,24,19.2,2
348,208,29291,2880,0.047,0.12,0.25,4,24,19.2,2
349,209,29760,2880,0.015,0.04,0.25,4,24,19.2,2
350,209,29761,2880,0.037,0.09,0.25,4,24,19.2,2
351,210,29764,2880,0.025,0.06,0.25,4,24,19.2,2
352,210,29765,2880,0.063,0.16,0.25,4,24,19.2,2
353,210,30297,2880,0.023,0.06,0.25,4,24,19.2,2
354,211,29766,2880,0.031,0.08,0.25,4,24,19.2,2
355,211,29767,2880,0.02,0.05,0.25,4,24,19.2,2
356,211,29768,2880,0.022,0.06,0.25,4,24,19.2,2
357,212,29769,2880,0.035,0.09,0.25,4,24,19.2,2
358,213,29770,2880,0.024,0.06,0.25,4,24,19.2,2
359,213,29771,2880,0.022,0.06,0.25,4,24,19.2,2
360,213,29772,2880,0.031,0.08,0.25,4,24,19.2,2
361,214,29773,2880,0.018,0.05,0.25,4,24,19.2,2
362,214,29774,2880,0.03,0.08,0.25,4,24,19.2,2
363,215,29776,2880,0.039,0.1,0.25,4,24,19.2,2
364,215,29777,2880,0.015,0.04,0.25,4,24,19.2,2
365,216,30049,2880,0.034,0.09,0.25,4,24,19.2,2
366,216,30513,2880,0.04,0.1,0.25,4,24,19.2,2
367,217,29779,2880,0.045,0.11,0.25,4,24,19.2,2
368,217,30051,2880,0.017,0.04,0.25,4,24,19.2,2
369,218,29778,2880,0.065,0.16,0.25,4,24,19.2,2
370,218,29780,2880,0.047,0.12,0.25,4,24,19.2,2
371,218,30050,2880,0.041,0.1,0.25,4,24,19.2,2
372,219,29781,2880,0.072,0.18,0.25,4,24,19.2,2
373,219,29783,2880,0.068,0.17,0.25,4,24,19.2,2
374,220,29785,2880,0.046,0.12,0.25,4,24,19.2,2
375,220,29786,2880,0.057,0.14,0.25,4,24,19.2,2
376,221,29788,2880,0.068,0.17,0.25,4,24,19.2,2
377,221,30323,2880,0.05,0.13,0.25,4,24,19.2,2
378,221,30324,2880,0.049,0.12,0.25,4,24,19.2,2
379,222,29790,2880,0.054,0.14,0.25,4,24,19.2,2
380,222,30213,2880,0.063,0.16,0.25,4,24,19.2,2
381,223,29791,2880,0.048,0.12,0.25,4,24,19.2,2
382,223,29792,2880,0.052,0.13,0.25,4,24,19.2,2
383,223,29991,2880,0.059,0.15,0.25,4,24,19.2,2
384,224,6988,2880,0.188,0.47,0.25,4,24,19.2,2
385,225,28527,2880,0.17,0.43,0.25,4,24,19.2,2
386,226,27535,2880,0.117,0.29,0.25,4,24,19.2,2
387,227,27533,2880,0.142,0.36,0.25,4,24,19.2,2
388,228,28584,2880,0.157,0.39,0.25,4,24,19.2,2
389,229,28525,2880,0.109,0.27,0.25,4,24,19.2,2
390,229,29627,2880,0.08,0.2,0.25,4,24,19.2,2
391,230,29224,2880,0.035,0.09,0.25,4,24,19.2,2
392,231,30052,2880,0.023,0.06,0.25,4,24,19.2,2
393,231,30298,2880,0.02,0.05,0.25,4,24,19.2,2
394,232,29794,2880,0.02,0.05,0.25,4,24,19.2,2
395,232,29795,2880,0.044,0.11,0.25,4,24,19.2,2
396,233,29797,2880,0.027,0.07,0.25,4,24,19.2,2
397,233,29799,2880,0.082,0.21,0.25,4,24,19.2,2
398,233,30118,2880,0.042,0.11,0.25,4,24,19.2,2
399,234,29796,2880,0.031,0.08,0.25,4,24,19.2,2
400,234,29798,2880,0.052,0.13,0.25,4,24,19.2,2
401,235,29800,2880,0.033,0.08,0.25,4,24,19.2,2
402,235,29801,2880,0.028,0.07,0.25,4,24,19.2,2
403,235,30279,2880,0.033,0.08,0.25,4,24,19.2,2
404,236,29807,2880,0.02,0.05,0.25,4,24,19.2,2
405,236,30053,2880,0.03,0.08,0.25,4,24,19.2,2
406,237,29802,2880,0.053,0.13,0.25,4,24,19.2,2
407,237,29803,2880,0.02,0.05,0.25,4,24,19.2,2
408,238,29804,2880,0.018,0.05,0.25,4,24,19.2,2
409,238,29805,2880,0.043,0.11,0.25,4,24,19.2,2
410,239,29798,2880,0.023,0.06,0.25,4,24,19.2,2
411,240,29812,2880,0.031,0.08,0.25,4,24,19.2,2
412,240,30055,2880,0.021,0.05,0.25,4,24,19.2,2
413,241,29806,2880,0.017,0.04,0.25,4,24,19.2,2
414,241,30054,2880,0.05,0.13,0.25,4,24,19.2,2
415,242,29808,2880,0.021,0.05,0.25,4,24,19.2,2
416,242,29809,2880,0.037,0.09,0.25,4,24,19.2,2
417,242,30299,2880,0.02,0.05,0.25,4,24,19.2,2
418,243,29810,2880,0.043,0.11,0.25,4,24,19.2,2
419,243,30344,2880,0.02,0.05,0.25,4,24,19.2,2
420,244,29814,2880,0.019,0.05,0.25,4,24,19.2,2
421,244,29815,2880,0.06,0.15,0.25,4,24,19.2,2
422,244,29816,2880,0.073,0.18,0.25,4,24,19.2,2
423,244,30056,2880,0.035,0.09,0.25,4,24,19.2,2
424,245,29811,2880,0.048,0.12,0.25,4,24,19.2,2
425,245,29812,2880,0.044,0.11,0.25,4,24,19.2,2
426,245,29813,2880,0.028,0.07,0.25,4,24,19.2,2
427,246,6779,2880,0.037,0.09,0.25,4,24,19.2,2
428,247,6806,2880,0.03,0.08,0.25,4,24,19.2,2
429,248,29819,2880,0.023,0.06,0.25,4,24,19.2,2
430,249,28558,2880,0.026,0.07,0.25,4,24,19.2,2
431,250,29817,2880,0.021,0.05,0.25,4,24,19.2,2
432,250,29818,2880,0.04,0.1,0.25,4,24,19.2,2
433,251,28559,2880,0.027,0.07,0.25,4,24,19.2,2
434,252,27598,2880,0.047,0.12,0.25,4,24,19.2,2
